id,text_snippet,labels,processed_text,label_list,extracted_entities
1,Budget is tight. not sure.,Pricing Discussion,budget tight sure,['Pricing Discussion'],"{""pricing_keywords"": [""Budget""], ""ORG"": [""Budget""]}"
2,How do you address performance for enterprise clients?,Technical Inquiry,address performance enterprise client,['Technical Inquiry'],"{""technical_concerns"": [""performance""]}"
3,Our CFO is interested in understanding cost savings.,Decision Maker Interaction,cfo interested understanding cost saving,['Decision Maker Interaction'],"{""decision_makers"": [""CFO""], ""ORG"": [""CFO""]}"
4,We're experiencing manual reporting and need a robust solution.,Positive,experiencing manual reporting need robust solution,['Positive'],"{""pain_points"": [""manual reporting""]}"
5,How do you address data security for enterprise clients?,Technical Inquiry,address data security enterprise client,['Technical Inquiry'],"{""technical_concerns"": [""data security""]}"
6,Budget is tight. need approval.,Pricing Discussion,budget tight need approval,['Pricing Discussion'],"{""pricing_keywords"": [""Budget""], ""ORG"": [""Budget""]}"
7,How do you address data security for enterprise clients?,Technical Inquiry,address data security enterprise client,['Technical Inquiry'],"{""technical_concerns"": [""data security""]}"
8,Currently current contract expiring. Can you walk me through your offering?,Positive,currently current contract expiring walk offering,['Positive'],{}
9,How do you address integration for enterprise clients?,Technical Inquiry,address integration enterprise client,['Technical Inquiry'],"{""technical_concerns"": [""integration""]}"
10,We're looking at solutions in the finance sector. manual reporting is our main challenge.,Industry Specific,looking solution finance sector manual reporting main challenge,['Industry Specific'],"{""pain_points"": [""manual reporting""], ""industries"": [""finance""]}"
11,We're looking at solutions in the education sector. inefficient process is our main challenge.,Industry Specific,looking solution education sector inefficient process main challenge,['Industry Specific'],"{""pain_points"": [""inefficient process""], ""industries"": [""education""]}"
12,I'm seeing quotes from Tupac Solutions. What makes your solution different?,Competition,im seeing quote tupac solution make solution different,['Competition'],"{""competitors"": [""Tupac Solutions""], ""ORG"": [""Tupac Solutions""]}"
13,We're looking at solutions in the healthcare sector. inefficient process is our main challenge.,Industry Specific,looking solution healthcare sector inefficient process main challenge,['Industry Specific'],"{""pain_points"": [""inefficient process""], ""industries"": [""healthcare""]}"
14,Our CEO is interested in understanding increased efficiency.,Decision Maker Interaction,ceo interested understanding increased efficiency,['Decision Maker Interaction'],"{""decision_makers"": [""CEO""]}"
15,Currently looking for alternatives. Can you walk me through your offering?,Positive,currently looking alternative walk offering,['Positive'],{}
16,How do you address scalability for enterprise clients?,Technical Inquiry,address scalability enterprise client,['Technical Inquiry'],"{""technical_concerns"": [""scalability""]}"
17,I'm seeing quotes from KDot Technologies. What makes your solution different?,Competition,im seeing quote kdot technology make solution different,['Competition'],"{""competitors"": [""KDot Technologies""], ""ORG"": [""KDot Technologies""]}"
18,Our CTO is interested in understanding increased efficiency.,Decision Maker Interaction,cto interested understanding increased efficiency,['Decision Maker Interaction'],"{""decision_makers"": [""CTO""], ""ORG"": [""CTO""]}"
19,Budget is tight. need approval.,Pricing Discussion,budget tight need approval,['Pricing Discussion'],"{""pricing_keywords"": [""Budget""], ""ORG"": [""Budget""]}"
20,How do you address data security for enterprise clients?,Technical Inquiry,address data security enterprise client,['Technical Inquiry'],"{""technical_concerns"": [""data security""]}"
21,Budget is tight. not sure.,Pricing Discussion,budget tight sure,['Pricing Discussion'],"{""pricing_keywords"": [""Budget""], ""ORG"": [""Budget""]}"
22,I'm seeing quotes from JCole Corporation. What makes your solution different?,Competition,im seeing quote jcole corporation make solution different,['Competition'],"{""competitors"": [""JCole Corporation""], ""ORG"": [""JCole Corporation""]}"
23,We're looking at solutions in the education sector. lack of insights is our main challenge.,Industry Specific,looking solution education sector lack insight main challenge,['Industry Specific'],"{""pain_points"": [""lack of insights""], ""industries"": [""education""]}"
24,Our IT Director is interested in understanding streamlined operations.,Decision Maker Interaction,director interested understanding streamlined operation,['Decision Maker Interaction'],"{""decision_makers"": [""IT Director""]}"
25,We're looking at solutions in the healthcare sector. lack of insights is our main challenge.,Industry Specific,looking solution healthcare sector lack insight main challenge,['Industry Specific'],"{""pain_points"": [""lack of insights""], ""industries"": [""healthcare""]}"
26,I'm seeing quotes from Nas and Co. What makes your solution different?,Competition,im seeing quote na co make solution different,['Competition'],"{""competitors"": [""Nas and Co""], ""GPE"": [""Nas""]}"
27,We're looking at solutions in the retail sector. inefficient process is our main challenge.,Industry Specific,looking solution retail sector inefficient process main challenge,['Industry Specific'],"{""pain_points"": [""inefficient process""], ""industries"": [""retail""]}"
28,I'm seeing quotes from KDot Technologies. What makes your solution different?,Competition,im seeing quote kdot technology make solution different,['Competition'],"{""competitors"": [""KDot Technologies""], ""ORG"": [""KDot Technologies""]}"
29,Our Head of Data is interested in understanding competitive advantage.,Decision Maker Interaction,head data interested understanding competitive advantage,['Decision Maker Interaction'],"{""decision_makers"": [""Head of Data""]}"
30,I'm seeing quotes from MosDef Analytics. What makes your solution different?,Competition,im seeing quote mosdef analytics make solution different,['Competition'],"{""competitors"": [""MosDef Analytics""], ""features"": [""Analytics""], ""ORG"": [""MosDef Analytics""]}"
31,Currently evaluating solutions. Can you walk me through your offering?,Positive,currently evaluating solution walk offering,['Positive'],{}
32,We're experiencing integration challenges and need a robust solution.,Technical Inquiry,experiencing integration challenge need robust solution,['Technical Inquiry'],"{""pain_points"": [""integration challenges""], ""technical_concerns"": [""integration""]}"
33,Our Chief Data Officer is interested in understanding increased efficiency.,Decision Maker Interaction,chief data officer interested understanding increased efficiency,['Decision Maker Interaction'],"{""decision_makers"": [""Chief Data Officer""]}"
34,We're experiencing scalability issues and need a robust solution.,Technical Inquiry,experiencing scalability issue need robust solution,['Technical Inquiry'],"{""pain_points"": [""scalability issues""], ""technical_concerns"": [""scalability""]}"
35,What predictive modeling can help us improve our current processes?,Positive,predictive modeling help u improve current process,['Positive'],"{""features"": [""predictive modeling""]}"
36,What data pipeline can help us improve our current processes?,Positive,data pipeline help u improve current process,['Positive'],"{""features"": [""data pipeline""]}"
37,What analytics can help us improve our current processes?,Positive,analytics help u improve current process,['Positive'],"{""features"": [""analytics""]}"
38,What Natural language processing can help us improve our current processes?,Positive,natural language processing help u improve current process,['Positive'],"{""features"": [""Natural language processing""]}"
39,What Regression and classification can help us improve our current processes?,Positive,regression classification help u improve current process,['Positive'],"{""features"": [""Regression and classification""]}"
40,We're looking at solutions in the telecommunications sector. integration challenges is our main challenge.,"Technical Inquiry, Industry Specific",looking solution telecommunication sector integration challenge main challenge,"['Technical Inquiry', 'Industry Specific']","{""pain_points"": [""integration challenges""], ""industries"": [""telecommunications""], ""technical_concerns"": [""integration""]}"
41,Budget is tight. need approval.,Pricing Discussion,budget tight need approval,['Pricing Discussion'],"{""pricing_keywords"": [""Budget""], ""ORG"": [""Budget""]}"
42,Budget is tight. need approval.,Pricing Discussion,budget tight need approval,['Pricing Discussion'],"{""pricing_keywords"": [""Budget""], ""ORG"": [""Budget""]}"
43,I'm seeing quotes from Nas and Co. What makes your solution different?,Competition,im seeing quote na co make solution different,['Competition'],"{""competitors"": [""Nas and Co""], ""GPE"": [""Nas""]}"
44,How do you address scalability for enterprise clients?,Technical Inquiry,address scalability enterprise client,['Technical Inquiry'],"{""technical_concerns"": [""scalability""]}"
45,What AI can help us improve our current processes?,Positive,ai help u improve current process,['Positive'],"{""features"": [""AI""], ""ORG"": [""AI""]}"
46,What Big data can help us improve our current processes?,Positive,big data help u improve current process,['Positive'],"{""features"": [""Big data""]}"
47,Currently looking for alternatives. Can you walk me through your offering?,Positive,currently looking alternative walk offering,['Positive'],{}
48,We're experiencing integration challenges and need a robust solution.,Technical Inquiry,experiencing integration challenge need robust solution,['Technical Inquiry'],"{""pain_points"": [""integration challenges""], ""technical_concerns"": [""integration""]}"
49,Budget is tight. vendor lock-in.,Pricing Discussion,budget tight vendor lockin,['Pricing Discussion'],"{""pricing_keywords"": [""Budget""], ""ORG"": [""Budget""]}"
50,How do you address reliability for enterprise clients?,Technical Inquiry,address reliability enterprise client,['Technical Inquiry'],"{""technical_concerns"": [""reliability""]}"
51,What machine learning can help us improve our current processes?,Positive,machine learning help u improve current process,['Positive'],"{""features"": [""machine learning""]}"
52,I'm seeing quotes from Tupac Solutions. What makes your solution different?,Competition,im seeing quote tupac solution make solution different,['Competition'],"{""competitors"": [""Tupac Solutions""], ""ORG"": [""Tupac Solutions""]}"
53,We're experiencing manual reporting and need a robust solution.,Positive,experiencing manual reporting need robust solution,['Positive'],"{""pain_points"": [""manual reporting""]}"
54,Our Chief Data Officer is interested in understanding increased efficiency.,Decision Maker Interaction,chief data officer interested understanding increased efficiency,['Decision Maker Interaction'],"{""decision_makers"": [""Chief Data Officer""]}"
55,We're experiencing lack of insights and need a robust solution.,Positive,experiencing lack insight need robust solution,['Positive'],"{""pain_points"": [""lack of insights""]}"
56,How do you address integration for enterprise clients?,Technical Inquiry,address integration enterprise client,['Technical Inquiry'],"{""technical_concerns"": [""integration""]}"
